Year,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
1976,1122886.0,2732104.0,1466575.0,729344.0,220593.0,980971.0,384111.0,1360708.0,1542491.0,1885966.0,4778774.0,4038017.0,1674028.0,1525952.0,5169599.0,168501.0,1906139.0,10091516.0,7670626.0,313335.0,1506406.0,186271.0,479861.0,698826.0,2164567.0,268691.0,1010542.0,5818978.0,2624337.0,2362087.0,1087931.0,330225.0,412316.0,282791.0,496656.0,3618369.0,338350.0,1201190.0,1940055.0,2311541.0,338300.0,2449759.0,407356.0,441337.0,538744.0,1307156.0,3349410.0,909164.0,1268076.0,5162285.0,2165093.0
1977,1182797.0,2784538.0,1497227.0,749952.0,235044.0,1007109.0,408948.0,1405820.0,1646890.0,1934229.0,4869073.0,4166238.0,1738910.0,1588568.0,5370253.0,178467.0,1960945.0,10627728.0,7779588.0,320650.0,1559910.0,201856.0,477484.0,713996.0,2212784.0,273518.0,1057371.0,6073692.0,2743023.0,2446970.0,1118230.0,332596.0,418105.0,290695.0,524028.0,3842310.0,360365.0,1254490.0,2005340.0,2359540.0,357481.0,2535639.0,425610.0,448213.0,551239.0,1337891.0,3399575.0,941903.0,1312829.0,5232751.0,2253061.0
1978,1240316.0,2841991.0,1542935.0,757317.0,243161.0,1019686.0,422351.0,1419046.0,1681893.0,2004350.0,5041992.0,4271317.0,1858982.0,1647653.0,5457063.0,183827.0,2012788.0,11102688.0,7946217.0,330592.0,1596561.0,215699.0,491415.0,760068.0,2303630.0,279437.0,1124647.0,6335790.0,2794944.0,2520335.0,1157827.0,333957.0,420467.0,296797.0,547859.0,4064120.0,382443.0,1286419.0,2083652.0,2451787.0,367770.0,2631794.0,443397.0,454353.0,585325.0,1364821.0,3546195.0,970717.0,1384402.0,5352971.0,2269148.0
1979,1272043.0,2861506.0,1580899.0,769440.0,247143.0,1044717.0,434437.0,1430274.0,1775674.0,2082303.0,5056633.0,4317428.0,1967556.0,1668045.0,5517917.0,184359.0,2073746.0,11462212.0,8039959.0,335394.0,1638248.0,229723.0,504823.0,782139.0,2354893.0,283420.0,1191739.0,6601526.0,2838436.0,2557535.0,1185240.0,325837.0,431235.0,301062.0,563323.0,4198954.0,416071.0,1337137.0,2128623.0,2497765.0,375464.0,2646279.0,460054.0,467132.0,618946.0,1385057.0,3594671.0,991104.0,1466899.0,5434431.0,2296388.0
1980,1316464.0,2894099.0,1590049.0,770562.0,253345.0,1061001.0,427565.0,1426465.0,1826420.0,2114818.0,5100562.0,4292980.0,1997806.0,1677933.0,5571144.0,188548.0,2094968.0,11699672.0,7997263.0,335427.0,1678926.0,242839.0,507318.0,789314.0,2369764.0,285511.0,1243343.0,6894557.0,2870510.0,2579693.0,1186174.0,315289.0,444971.0,306666.0,573047.0,4380374.0,445122.0,1404089.0,2160155.0,2555351.0,380897.0,2612331.0,471750.0,472575.0,635798.0,1420273.0,3605036.0,1005966.0,1507086.0,5441872.0,2316369.0
1981,1334770.0,2967435.0,1602675.0,779211.0,259927.0,1066103.0,433048.0,1426384.0,1859914.0,2133723.0,5116174.0,4295826.0,1995810.0,1689366.0,5577964.0,204389.0,2099977.0,11953796.0,7975971.0,332284.0,1664900.0,253639.0,513371.0,780382.0,2384433.0,291725.0,1293401.0,7186747.0,2947765.0,2616641.0,1180678.0,302636.0,453179.0,312778.0,583151.0,4604680.0,479121.0,1468931.0,2177434.0,2627515.0,386850.0,2604238.0,482693.0,476462.0,660223.0,1462369.0,3596583.0,1023496.0,1561153.0,5481926.0,2315660.0
1982,1339530.0,2985574.0,1610459.0,790809.0,263786.0,1063709.0,448782.0,1425301.0,1868756.0,2169690.0,5121025.0,4293604.0,2047360.0,1739203.0,5625867.0,221151.0,2159071.0,12246826.0,7974270.0,333019.0,1700366.0,261415.0,524391.0,759137.0,2432228.0,294074.0,1366199.0,7548406.0,2925373.0,2686671.0,1200930.0,311488.0,466557.0,318451.0,602827.0,4805136.0,483137.0,1514543.0,2173744.0,2678651.0,392159.0,2595258.0,489168.0,473439.0,680880.0,1486801.0,3641879.0,1030865.0,1631646.0,5490303.0,2329766.0
1983,1324005.0,3023546.0,1633346.0,785283.0,265360.0,1051363.0,459645.0,1421039.0,1924028.0,2184829.0,5074224.0,4283935.0,2069552.0,1770492.0,5588151.0,238201.0,2202888.0,12382924.0,8056718.0,336997.0,1705657.0,256500.0,542038.0,764292.0,2408474.0,300768.0,1406123.0,7691553.0,2980298.0,2755976.0,1187474.0,316928.0,473208.0,322341.0,612441.0,5047209.0,489073.0,1551625.0,2214879.0,2716825.0,399414.0,2604508.0,507659.0,479701.0,693474.0,1486771.0,3758932.0,1045741.0,1692281.0,5472461.0,2382920.0
1984,1321118.0,3043816.0,1690300.0,800650.0,272786.0,1096965.0,465052.0,1412224.0,1973429.0,2214586.0,5117352.0,4354515.0,2072290.0,1796675.0,5651451.0,250205.0,2245520.0,12838548.0,8144991.0,344533.0,1692583.0,252527.0,549992.0,767109.0,2377355.0,311584.0,1461021.0,7974901.0,3056797.0,2854286.0,1218208.0,327535.0,473633.0,329413.0,638012.0,5260979.0,508421.0,1566825.0,2261154.0,2820905.0,402219.0,2667015.0,531109.0,495695.0,717011.0,1519761.0,3813968.0,1033741.0,1723170.0,5516210.0,2408469.0
1985,1333465.0,3059397.0,1719430.0,809005.0,284591.0,1143245.0,467882.0,1422342.0,1997830.0,2239050.0,5194256.0,4365556.0,2129586.0,1827022.0,5682986.0,255076.0,2275304.0,13108601.0,8408023.0,345815.0,1696786.0,252371.0,556108.0,747177.0,2389404.0,320533.0,1519357.0,8069623.0,3156881.0,2866625.0,1231520.0,322301.0,485991.0,334373.0,661799.0,5420535.0,520052.0,1579406.0,2299525.0,2910864.0,403440.0,2728567.0,551043.0,504649.0,741196.0,1566532.0,3877618.0,1054663.0,1707408.0,5595924.0,2501454.0
